id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1247593,"N1 double, own bathroom, wifi & gym",6178179,Deeann,,Islington,51.537883988080274,-0.08666083118755642,Private room,69,1,20,2014-12-12,0.9,2,303
4442679,Beautiful garden flat in trendy SW,16896506,Katie,,Wandsworth,51.4477158266221,-0.20167784181589765,Entire home/apt,99,1,0,,,1,135
5055558,"LONDON RECA'S  STUDIO, SLEEPS 2-4.",15952625,Lydia,,Newham,51.5480792058944,0.06113916441218795,Entire home/apt,55,2,4,2015-03-26,4,4,365
2993844,Trendy studio in Kingscross-17/3,10245881,Bita,,Camden,51.52754337773175,-0.13377123993466666,Entire home/apt,67,2,9,2015-03-26,1.0,2,127
533455,Sunny back bedroom in 2 bed flat,2621498,Nicola,,Lewisham,51.44510938187406,-0.04682861809501174,Private room,45,3,0,,,1,365
1253498,Double room in the centre of London,6829706,Gigi,,Islington,51.52598472277887,-0.09255296854906993,Private room,80,1,0,,,1,365
4356007,Luxury victorian family homel,22611343,Lucy,,Kingston upon Thames,51.414745541053314,-0.28959428251578345,Entire home/apt,325,2,0,,,1,195
1255136,Great 1 bedroom flat in Maida Vale,6836041,Helen,,Westminster,51.524754718725994,-0.19375704496763044,Entire home/apt,120,1,30,2014-06-28,1.4,1,350
5083663,Edwardian double bedroom ,1508155,Gabi,,Lambeth,51.47052168239471,-0.11159964880561625,Private room,45,2,0,,,3,309
638155,Detached Victorian House in SW16,3171706,Claire,,Lambeth,51.42535604521213,-0.1226816801255409,Private room,40,1,0,,,1,365
978057,1 bed flat in Oval,493070,Mark,,Lambeth,51.47906024170574,-0.10747482745337898,Entire home/apt,150,1,5,2014-06-10,0.2,1,111
97506,Lovely Victorian Room Streatham,497537,Keith,,Lambeth,51.42874635869941,-0.1205575074527848,Private room,35,2,24,2014-12-09,0.5,1,333
1015806,Charming 2 bedroom riverside house,5567294,Maral,,Southwark,51.494240136075156,-0.04095442283784851,Entire home/apt,95,4,22,2015-03-24,1.2,4,243
4757784,Split-level Victorian flat- Zone 2,20777051,Ellie,,Southwark,51.471122117271015,-0.06038394345259524,Entire home/apt,90,1,0,,,1,337
4208080,Perfectly located Notting Hill flat,10416361,Endre,,Kensington and Chelsea,51.50990161614177,-0.19282457557073404,Entire home/apt,125,5,0,,,1,201
3997363,Fab Flat in Heart of Notting Hill!,6766431,Kelley,,Kensington and Chelsea,51.50980451062117,-0.1970945401895058,Entire home/apt,96,2,0,,,1,201
1854970,Lovely Flat available NOW,9607880,Mo,,City of London,51.51884555385002,-0.10387385267139498,Entire home/apt,100,1,5,2013-12-16,0.3,1,365
746617,"Spacious 1 bedroom W1 Flat, Central",3917991,Yas,,Westminster,51.514851768077236,-0.14069652240472916,Entire home/apt,109,1,95,2015-04-02,3.5,3,236
3398862,Exclusive Mayfair (St.James) Apt,2062331,Roberto,,Westminster,51.5073691375101,-0.13702794793065914,Entire home/apt,175,1,7,2015-03-04,1.0,1,263
3882365,"3 BR - Elgin, Maida Vale ",18582406,Elizabeth,,Westminster,51.52815589934213,-0.19141726345217194,Entire home/apt,150,3,4,2015-01-23,0.6,32,258
4027546,2BR with Garden near Notting Hill,4267513,Felix,,Westminster,51.530016601980236,-0.2013570713508949,Entire home/apt,110,3,29,2015-03-16,4.1,1,247
4790940,Room in the Heart of Camden,24014262,Andrei,,Camden,51.53994608275084,-0.1432721961948775,Private room,70,1,7,2015-04-01,2.1,5,287
1150556,"Spacious, Central & Stylish home",3572688,Lizzie,,Islington,51.5252543165275,-0.09607158019135825,Entire home/apt,150,2,10,2014-09-25,0.4,2,220
5830313,Spacious Double Room,10388669,Nina,,Hammersmith and Fulham,51.49980802111924,-0.2286094125216037,Private room,45,1,0,,,2,362
4247005,Lovely Double bedroom zone 2 London,2500672,Gabriella And Luciano,,Hackney,51.56462669733249,-0.07046590773641362,Private room,50,2,0,,,2,365
5341807,Lovely flat in Victoria,7703794,Jul,,Westminster,51.492755024803586,-0.14022203869000965,Entire home/apt,90,1,1,2015-03-19,1,1,72
569989,Twin / double room in Hackney home,2805101,Eleanor,,Hackney,51.547394293071896,-0.03709714107077668,Private room,35,1,55,2015-03-15,1.7,1,307
585176,"Stunning Flat in London, SW17 9LL",2076524,Chris,,Merton,51.421890221223535,-0.17184124406628323,Private room,38,1,97,2015-03-17,3.1,1,269
1211486,"Lovely room, Hackney, East london",6615071,Jane,,Hackney,51.5535620478457,-0.04482194365295253,Private room,35,1,7,2015-01-29,0.6,2,354
632672,Great Double Rooms In London City ,3135841,Donovan,,Hackney,51.5321348189271,-0.08882333379041513,Private room,58,1,113,2015-04-04,3.8,2,361
1970255,2 bed modern flat in Shoreditch,2388004,Carmen,,Hackney,51.53391083100514,-0.07179830810660975,Entire home/apt,140,3,1,2014-04-19,0.1,1,365
586585,Shoreditch loft apartment ,1928072,Julia & Adam,,Hackney,51.52525408849267,-0.08165434746390132,Entire home/apt,155,3,8,2014-08-06,0.3,1,365
